tid,tconst,averageRating,numVotes
834,tt12541101,8.3,105759
835,tt0029768,5.8,35
837,tt12533505,4.4,6
840,tt12539054,7.0,6
841,tt12538606,8.3,45
842,tt12544565,7.7,163
843,tt12532309,6.1,359
844,tt12539218,8.2,15
845,tt0393824,5.1,11
847,tt0813734,8.0,742
850,tt0762082,7.9,20
852,tt1883368,8.2,13
853,tt0955242,3.6,9
854,tt12539804,3.3,225
857,tt12543996,7.9,12
858,tt12536927,8.0,8
859,tt12532409,8.8,10
860,tt12538743,6.8,20
861,tt12539964,6.5,204
862,tt12537160,7.9,9
863,tt12532975,6.1,22
864,tt3728382,5.6,21
865,tt12536015,7.8,6
867,tt12534424,6.0,40
869,tt12542789,6.1,11
871,tt0034251,7.1,1483
872,tt9168706,7.0,7
874,tt1458786,7.4,17
876,tt12544635,8.0,987
877,tt12537671,6.4,3
878,tt6272216,6.7,20
879,tt3364206,6.6,129
881,tt12531365,4.2,169
882,tt12545176,7.4,5
883,tt12541077,6.9,29
884,tt12533849,6.5,10
885,tt12543033,5.5,6
886,tt4327728,10.0,15
887,tt2104487,5.9,13
888,tt12543527,7.0,7
889,tt12533192,7.0,7
890,tt12542591,7.7,17
891,tt12531460,7.3,2539
892,tt1291631,7.2,21
893,tt1865769,5.9,11910
894,tt12531854,8.4,16
895,tt12536072,3.7,14
897,tt12536992,5.8,9666
898,tt12542565,5.2,64
901,tt12539576,6.8,18
902,tt2080042,3.7,43
903,tt12542632,7.1,251
904,tt0081586,6.0,40
905,tt12533099,6.9,863
906,tt6766384,5.0,7
908,tt12544094,7.0,872
909,tt0285073,8.2,165
910,tt12532885,6.6,221
912,tt12538565,5.0,13
915,tt0246057,6.0,37
917,tt12540872,6.4,19
918,tt12541099,8.6,105759
919,tt12532519,7.1,209
921,tt12531474,4.1,88
923,tt3399706,7.1,248
927,tt12541069,6.1,231
928,tt12533075,9.3,22
930,tt0180492,5.9,16
931,tt12531625,6.5,10
932,tt12541835,3.4,44
933,tt6002956,7.2,5
934,tt12540863,7.8,13
935,tt0024542,1.6,10
936,tt12538658,7.8,52
937,tt12532458,6.1,13
938,tt12536517,4.6,9
940,tt12544285,7.5,8
941,tt2269908,6.9,15
942,tt12532393,6.1,36
944,tt12545862,7.1,615
946,tt0077206,5.8,47
947,tt12537165,6.7,15
948,tt4492840,5.9,7
949,tt12537037,3.8,2166
950,tt12532008,6.3,29
952,tt12542103,9.1,14
